iter	RMSE
0	8.808007638
1	8.636494282
2	8.44871166
3	8.281458508
4	8.139846978
5	7.977651001
6	7.824741432
7	7.682398679
8	7.541420297
9	7.394252115
10	7.257201861
11	7.124073139
12	6.988944711
13	6.863213756
14	6.753540996
15	6.62636292
16	6.508439998
17	6.403262016
18	6.286291777
19	6.172440612
20	6.045885318
21	5.952659754
22	5.859945932
23	5.776961211
24	5.683591918
25	5.606074253
26	5.528960957
27	5.45642507
28	5.375766385
29	5.279960733
30	5.205483558
31	5.135975006
32	5.075324352
33	5.00107972
34	4.950153311
35	4.887111378
36	4.831040058
37	4.75165292
38	4.681779734
39	4.613622221
40	4.559090568
41	4.502416769
42	4.448954372
43	4.392533501
44	4.344594905
45	4.292288087
46	4.247073498
47	4.19923379
48	4.151944036
49	4.112760772
50	4.068546225
51	4.026089351
52	3.974182481
53	3.935629068
54	3.899656477
55	3.849891901
56	3.811400041
57	3.77270251
58	3.740864952
59	3.705590086
60	3.671597663
61	3.639783865
62	3.599927494
63	3.566250287
64	3.530675996
65	3.497517857
66	3.462934969
67	3.436541773
68	3.398625647
69	3.370496447
70	3.341948552
71	3.326570847
72	3.304473797
73	3.282527358
74	3.249279077
75	3.228613505
76	3.204869073
77	3.176945689
78	3.148381557
79	3.128048233
80	3.107984084
81	3.090264962
82	3.067280272
83	3.053079072
84	3.029576973
85	3.0066451
86	2.984680717
87	2.962150532
88	2.949148692
89	2.928546462
90	2.914022947
91	2.89838464
92	2.883758077
93	2.865540989
94	2.850585911
95	2.83692473
96	2.820489943
97	2.80266912
98	2.789284766
99	2.78000436
100	2.765823364
101	2.750258159
102	2.736639808
103	2.714080416
104	2.695597101
105	2.681120634
106	2.666050499
107	2.654858917
108	2.642050181
109	2.627533607
110	2.6164365
111	2.604589094
112	2.589547276
113	2.578956993
114	2.569657816
115	2.558486164
116	2.54880366
117	2.537512458
118	2.52451097
119	2.514710333
120	2.503095392
121	2.492819723
122	2.476578456
123	2.468068143
124	2.458552283
125	2.448034475
126	2.434720372
127	2.424690826
128	2.415413812
129	2.40415073
130	2.391412059
131	2.381342615
132	2.369460495
133	2.360581942
134	2.349640902
