,Date,Price,counts,datetime
0,2020-02,41266091,2931,2020-02-01
1,2020-03,41916271,6855,2020-03-01
2,2020-04,43066211,979,2020-04-01
3,2020-05,46919475,703,2020-05-01
4,2020-06,46392367,1331,2020-06-01
5,2020-07,47806147,1506,2020-07-01
6,2020-08,46377231,5641,2020-08-01
7,2020-09,47128339,3865,2020-09-01
8,2020-10,47304200,2700,2020-10-01
9,2020-11,47680752,7688,2020-11-01
10,2020-12,46881759,26527,2020-12-01
11,2021-01,46268277,17471,2021-01-01
12,2021-02,44023439,11467,2021-02-01
13,2021-03,49869479,13414,2021-03-01
14,2021-04,48970480,18927,2021-04-01
15,2021-05,51219562,18331,2021-05-01
16,2021-06,50209911,16623,2021-06-01
17,2021-07,52583282,41374,2021-07-01
18,2021-08,50076065,53077,2021-08-01
19,2021-09,50710469,59857,2021-09-01
20,2021-10,53469616,53415,2021-10-01
21,2021-11,53827378,82517,2021-11-01
22,2021-12,53993508,183593,2021-12-01
23,2022-01,54539492,214815,2022-01-01
24,2022-02,47029608,2288480,2022-02-01
25,2022-03,53934645,9960484,2022-03-01
26,2022-04,55138961,4142577,2022-04-01
27,2022-05,58451416,866069,2022-05-01
